☘️重要提醒🍀,#genre#
2026.9.26,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
小凯QQ群,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
660519941,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
资源自收集于网络,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
禁止贩卖 请勿打赏,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
勿相信广告 无收费,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
卡顿左右换源,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
不定时更新,http://119.233.255.62:1234/608807420
链接每日刷新一次,http://119.233.255.62:1234/608807420
APTV ua推荐,http://119.233.255.62:1234/608807420
Apple TV/16.0,http://119.233.255.62:1234/608807420
分组带SK5或SOCKS5的,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
需要酷九socks5.py或者内置版,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
两种格式 选择适合自己的,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8

代理,#genre#
凤凰香港,http://xiangz.qzz.io:8031/php/fhx.php?id=fhhk
凤凰中文,http://xiangz.qzz.io:8031/php/fhx.php?id=fhzx
凤凰资讯,http://xiangz.qzz.io:8031/php/fhx.php?id=fhzw
凤凰香港,http://jiekou.dpdns.org/xiang/php/fhx.php?id=fhhk
凤凰中文,http://jiekou.dpdns.org/xiang/php/fhx.php?id=fhzx
凤凰资讯,http://jiekou.dpdns.org/xiang/php/fhx.php?id=fhzw
凤凰中文,http://bobohome.ignorelist.com:20247/fengshows?id=2.m3u8
凤凰资讯,http://bobohome.ignorelist.com:20247/fengshows?id=1.m3u8
凤凰香港,http://bobohome.ignorelist.com:20247/fengshows?id=3.m3u8
凤凰香港,http://43.152.224.209/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,http://43.152.224.209/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://43.152.224.209/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰中文,http://jyb7928.host:8066/udp/239.1.1.126:8126/?fcc=10.56.17.68:8027&fcc-type=huawei
凤凰中文,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.202.35:5140
凤凰中文,http://61.178.227.57:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://218.104.239.114:9901/tsfile/live/1013_1.m3u8
凤凰中文,http://l8221706.dpdns.org/fhx.php?id=fhzw
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://jyb7928.host:8066/udp/239.1.1.127:8127/?fcc=10.56.17.68:8027&fcc-type=huawei
凤凰资讯,http://jellyfin.eversouthhangzhou.com.cn:8188/rtp/233.50.202.36:5140
凤凰资讯,http://61.178.227.57:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://218.104.239.114:9901/tsfile/live/1012_1.m3u8
凤凰资讯,http://l8221706.dpdns.org/fhx.php?id=fhzx
凤凰香港台,http://61.178.227.57:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港台,http://l8221706.dpdns.org/fhx.php?id=fhhk
凤凰电影台,http://221.7.175.154:8445/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://218.206.193.218:8888/hls/110/index.m3u8
凤凰资讯,http://218.206.193.218:8888/hls/109/index.m3u8
凤凰资讯,https://play-flive.ifeng.com/flive/FLIVE_TX_NR_0JPFGA9SVSW.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
CHC影迷电影,http://192.151.150.154/live/chchd.m3u8
广东卫视,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=43
广东珠江,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=44
广东新闻,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=45
大湾区卫视(海外版),http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=46
广东体育,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=47
广东民生,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=48
大湾区卫视,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=51
广东影视,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=53
4K超高清,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=16
广东少儿,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=54
嘉佳卡通,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=66
南方购物,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=42
岭南戏曲,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=15
广东移动,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=74
现代教育,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=111
广东台经典剧,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=100
GRTN健康频道,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=99
GRTN文化频道,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=75
GRTN生活频道,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangdong.php?id=102
汕头综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/shantou.php?id=st1
汕头经济生活,http://jiekou.dpdns.org/xiang/小凯QQ660519941/shantou.php?id=st2
汕尾综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/shanwei.php?id=57
广州综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangzhou.php?id=gzzh
广州新闻,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangzhou.php?id=gzxw
南国都市,http://jiekou.dpdns.org/xiang/小凯QQ660519941/guangzhou.php?id=ngds
肇庆综合,https://zqvlivestream.xjrb.com/zqLiveSlow/209.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
清远综合,https://vlivestream.qyrb.cn/qyLiveSlow/74.m3u8
汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8
中山综合,http://v.zsbtv.com.cn/lsdream/qTl38me/1000/live.m3u8
梅州综合,https://livepull.hellohakka.cn/live/ch_zonghe.m3u8
梅州客家生活,https://livepull.hellohakka.cn/live/ch_kejiashenghuo.m3u8
