🕘️更新时间,#genre#
2026-09-26 00:16:59,http://xjj1.716888.xyz/fenlei/4k/4k.php

📺央视频道,#genre#
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=cccb6b9cad34d95eaf06a39fcf6acd9e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=92aee428179a0ecc7495490888c0cba9&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-1,https://live.264788.xyz/channel/cctv1?streamid=40cf2f40582b104fb087535f9601ea19&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-1,http://39.77.161.85:4002/rtp/239.253.254.77:8000
CCTV-1,http://106.111.244.12:58099/rtp/239.49.8.19:9614
CCTV-1,http://58.35.95.16:20009/rtp/233.18.204.52:5140
CCTV-1,http://39.77.161.85:4002/rtp/239.253.254.77:8000$山东联通11
CCTV-1,http://39.77.156.202:4002/rtp/239.253.254.77:8000
CCTV-1,http://39.77.25.244:4002/rtp/239.253.254.89:8000$山东联通32
CCTV-1,http://39.77.161.85:4002/rtp/239.253.254.89:8000
CCTV-1,http://39.77.25.244:4002/rtp/239.253.254.89:8000
CCTV-1,http://39.77.161.85:4002/rtp/239.253.254.89:8000$山东联通12
CCTV-1,http://39.77.25.244:4002/rtp/239.253.254.77:8000$山东联通31
CCTV-1,http://39.77.25.244:4002/rtp/239.253.254.77:8000
CCTV-1,http://39.77.156.202:4002/rtp/239.253.254.89:8000
CCTV-1,http://60.4.29.46:8077/rtp/239.253.92.83:8012$河北联通11
CCTV-1,http://221.220.135.44:8012/rtp/239.3.1.129:8008$北京联通11
CCTV-1,http://60.4.29.46:8077/rtp/239.253.92.83:8012
CCTV-1,http://61.145.188.90:50055/udp/239.77.1.144:5146
CCTV-1,http://221.219.104.6:1193/rtp/239.3.1.129:8008
CCTV-1,http://222.92.158.110:9889/rtp/239.49.0.207:8000
CCTV-1,http://121.10.7.16:4000/udp/239.77.1.144:5146
CCTV-1,http://39.77.156.202:4002/rtp/239.253.254.89:8000$山东联通22
CCTV-1,http://36.49.50.4:8800/rtp/239.37.0.224:5540
CCTV-1,http://36.49.50.4:8800/rtp/239.37.0.149:5540
CCTV-1,http://60.30.67.44:8834/rtp/225.1.1.120:5002
CCTV-1,http://182.135.66.163:1888/rtp/239.94.0.31:5140
CCTV-1,http://182.135.66.163:18888/rtp/239.94.0.31:5140
CCTV-1,http://182.135.66.163:18888/rtp/239.94.2.34:5140
CCTV-1,http://182.135.66.163:18888/rtp/239.94.0.1:5140
CCTV-1,http://183.236.43.98:4013/udp/239.77.1.144:5146$广东电信11
CCTV-1,http://183.220.107.138:4022/rtp/239.11.0.65:5140
CCTV-1,http://183.222.15.202:4321/rtp/239.11.0.65:5140
CCTV-1,http://183.236.43.98:4013/udp/239.77.1.144:5146
CCTV-1,http://182.135.66.163:1888/rtp/239.94.2.34:5140
CCTV-1,http://182.135.66.163:1888/rtp/239.94.0.1:5140
CCTV-1,http://60.30.67.45:8834/rtp/225.1.1.120:5002
CCTV-1,http://39.77.156.202:4002/rtp/239.253.254.77:8000$山东联通21
CCTV-1,http://182.135.66.163:1888/rtp/239.94.2.69:5140
CCTV-1,http://121.237.245.243:8888/rtp/239.49.8.19:9614$江苏电信12
CCTV-1,http://121.237.245.243:8888/rtp/239.49.8.19:9614
CCTV-1,http://182.135.66.163:18888/rtp/239.94.2.69:5140
CCTV-1,http://101.81.76.108:4022/rtp/233.18.204.168:5140
CCTV-1,http://101.81.76.108:4022/rtp/233.18.204.52:5140
CCTV-1,http://113.221.59.169:4000/udp/239.76.251.87:9000
CCTV-1,http://113.221.59.169:4000/udp/239.76.253.151:9000
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=383d98765abf4549a5a799274f495f00&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=d55832b54a62754d87c8d80e8d0af412&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-2,https://live.264788.xyz/channel/cctv2?streamid=da40669354aad7a342bfad794406bd61&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-2,http://58.35.95.16:20009/rtp/233.18.204.68:5140
CCTV-2,http://222.92.158.110:9889/rtp/239.49.8.50:9802
CCTV-2,http://39.77.161.85:4002/rtp/239.253.254.232:8000$山东联通11
CCTV-2,http://39.77.156.202:4002/rtp/239.253.254.232:8000$山东联通21
CCTV-2,http://106.111.244.12:58099/rtp/239.49.8.50:9802
CCTV-2,http://101.81.76.108:4022/rtp/233.18.204.68:5140
CCTV-2,http://183.222.15.202:4321/rtp/239.11.0.108:5140
CCTV-2,http://182.135.66.163:18888/rtp/239.94.0.2:5140
CCTV-2,http://182.135.66.163:18888/rtp/239.94.2.35:5140
CCTV-2,http://182.135.66.163:1888/rtp/239.94.2.35:5140
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146$广东电信11
CCTV-2,http://182.135.66.163:1888/rtp/239.94.2.70:5140
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=4495555c28e027d370ae1c1bba64a72e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=dae69a23c264c77eefa2354094bbf46b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-3,https://live.264788.xyz/channel/cctv3?streamid=2732ee7572f54fe1c1e6af80a49a6786&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-3,http://58.35.95.16:20009/rtp/233.18.204.69:5140
CCTV-3,http://39.77.161.85:4002/rtp/239.253.254.191:8000$山东联通11
CCTV-3,http://39.77.156.202:4002/rtp/239.253.254.191:8000$山东联通21
CCTV-3,http://106.111.244.12:58099/rtp/239.49.8.74:8000
CCTV-3,http://182.135.66.163:18888/rtp/239.94.0.3:5140
CCTV-3,http://182.135.66.163:1888/rtp/239.94.0.3:5140
CCTV-3,http://39.77.25.244:4002/rtp/239.253.254.191:8000$山东联通31
CCTV-3,http://182.135.66.163:18888/rtp/239.94.0.32:5140
CCTV-3,http://183.222.15.202:4321/rtp/239.11.0.101:5140
CCTV-3,http://182.135.66.163:1888/rtp/239.94.0.32:5140
CCTV-3,http://183.236.43.98:4013/udp/239.77.0.169:5146$广东电信11
CCTV-4,http://101.81.76.108:4022/rtp/233.18.204.70:5140
CCTV-4,http://58.35.95.16:20009/rtp/233.18.204.70:5140
CCTV-4,http://39.77.161.85:4002/rtp/239.253.254.111:8000$山东联通11
CCTV-4,http://39.77.25.244:4002/rtp/239.253.254.111:8000$山东联通31
CCTV-4,http://124.112.241.231:4022/rtp/238.1.78.236:7760$安徽电信11
CCTV-4,http://183.222.15.202:4321/rtp/239.11.0.109:5140
CCTV-4,http://182.135.66.163:1888/rtp/239.94.0.4:5140
CCTV-4,http://183.236.43.98:4013/udp/239.77.1.163:5146$广东电信11
CCTV-4,http://182.135.66.163:18888/rtp/239.94.0.4:5140
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=188da934b8ba25977f0ac6a59478a16b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,https://live.264788.xyz/channel/cctv5p?streamid=98657a78f17179c4239d0009df18455c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=504fa453c7bb756531e1811917356ce7&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,https://live.264788.xyz/channel/cctv5p?streamid=f8f1d72e30c98f67e9d9b7abe956d039&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,https://live.264788.xyz/channel/cctv5p?streamid=b6e4f70849be6fef32dc1c569e8a5254&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,https://live.264788.xyz/channel/cctv5?streamid=aeee9fc440a5f4bc1bb9574b65213f29&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,https://live.264788.xyz/channel/cctv5p?streamid=223e1dc8d7606f14f535ccfca40dd137&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5,http://58.35.95.16:20009/rtp/233.18.204.67:5140
CCTV-5,http://106.111.244.12:58099/rtp/239.49.8.75:8000
CCTV-5,http://39.77.161.85:4002/rtp/239.253.254.192:8000$山东联通11
CCTV-5,http://39.77.156.202:4002/rtp/239.253.254.192:8000$山东联通21
CCTV-5,http://39.77.25.244:4002/rtp/239.253.254.192:8000$山东联通31
CCTV-5,http://39.77.25.244:4002/rtp/239.253.254.80:8000$山东联通31
CCTV-5,http://39.77.156.202:4002/rtp/239.253.254.80:8000$山东联通21
CCTV-5,http://60.4.29.46:8077/rtp/239.253.92.82:8013$河北联通11
CCTV-5,http://60.4.29.46:8077/rtp/239.253.92.181:6046$河北联通11
CCTV-5,http://106.111.244.12:58099/rtp/239.49.0.206:8000
CCTV-5,http://182.135.66.163:1888/rtp/239.94.0.5:5140
CCTV-5,http://182.135.66.163:18888/rtp/239.94.2.30:5140
CCTV-5,http://182.135.66.163:18888/rtp/239.94.0.5:5140
CCTV-5,http://182.135.66.163:18888/rtp/239.94.0.33:5140
CCTV-5,http://183.236.43.98:4013/udp/239.77.0.170:5146$广东电信11
CCTV-5,http://183.222.15.202:4321/rtp/239.11.0.100:5140
CCTV-5,http://182.135.66.163:1888/rtp/239.94.0.33:5140
CCTV-5,http://182.135.66.163:1888/rtp/239.94.2.30:5140
CCTV-5,http://101.81.76.108:4022/rtp/233.18.204.71:5140
CCTV-5,http://115.171.216.32:4000/rtp/225.1.8.89:8000
CCTV-5,http://183.236.43.98:4013/udp/239.77.0.87:5146$广东电信11
CCTV-5,http://101.81.76.108:4022/rtp/233.18.204.67:5140
CCTV-5,http://121.237.245.243:8888/rtp/239.49.8.18:9610$江苏电信11
CCTV-5+,https://live.264788.xyz/channel/cctv5?streamid=188da934b8ba25977f0ac6a59478a16b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=98657a78f17179c4239d0009df18455c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,https://live.264788.xyz/channel/cctv5?streamid=504fa453c7bb756531e1811917356ce7&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=f8f1d72e30c98f67e9d9b7abe956d039&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=b6e4f70849be6fef32dc1c569e8a5254&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,https://live.264788.xyz/channel/cctv5?streamid=aeee9fc440a5f4bc1bb9574b65213f29&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=223e1dc8d7606f14f535ccfca40dd137&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-5+,http://58.35.95.16:20009/rtp/233.18.204.67:5140
CCTV-5+,http://106.111.244.12:58099/rtp/239.49.8.75:8000
CCTV-5+,http://39.77.161.85:4002/rtp/239.253.254.192:8000$山东联通11
CCTV-5+,http://39.77.156.202:4002/rtp/239.253.254.192:8000$山东联通21
CCTV-5+,http://39.77.25.244:4002/rtp/239.253.254.192:8000$山东联通31
CCTV-5+,http://39.77.25.244:4002/rtp/239.253.254.80:8000$山东联通31
CCTV-5+,http://39.77.156.202:4002/rtp/239.253.254.80:8000$山东联通21
CCTV-5+,http://60.4.29.46:8077/rtp/239.253.92.82:8013$河北联通11
CCTV-5+,http://60.4.29.46:8077/rtp/239.253.92.181:6046$河北联通11
CCTV-5+,http://106.111.244.12:58099/rtp/239.49.0.206:8000
CCTV-5+,http://182.135.66.163:1888/rtp/239.94.0.5:5140
CCTV-5+,http://182.135.66.163:18888/rtp/239.94.2.30:5140
CCTV-5+,http://182.135.66.163:18888/rtp/239.94.0.5:5140
CCTV-5+,http://182.135.66.163:18888/rtp/239.94.0.33:5140
CCTV-5+,http://183.236.43.98:4013/udp/239.77.0.170:5146$广东电信11
CCTV-5+,http://183.222.15.202:4321/rtp/239.11.0.100:5140
CCTV-5+,http://182.135.66.163:1888/rtp/239.94.0.33:5140
CCTV-5+,http://182.135.66.163:1888/rtp/239.94.2.30:5140
CCTV-5+,http://101.81.76.108:4022/rtp/233.18.204.71:5140
CCTV-5+,http://115.171.216.32:4000/rtp/225.1.8.89:8000
CCTV-5+,http://183.236.43.98:4013/udp/239.77.0.87:5146$广东电信11
CCTV-5+,http://101.81.76.108:4022/rtp/233.18.204.67:5140
CCTV-5+,http://121.237.245.243:8888/rtp/239.49.8.18:9610$江苏电信11
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=c89a4225ad5c8ee02dc7ea15ac47cfb9&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-6,https://live.264788.xyz/channel/cctv6?streamid=0ef9fb30ed6fddd913a3226264c374ac&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
